title,source,url,published,acquirer,target,deal_value,deal_type,cluster_id,is_primary,corroboration_count,relevance_score,credibility_tier,credibility_score,included_in_newsletter,exclusion_reason
Godrej Consumer Products completes acquisition of FMCG business from Trilogy Solutions,MarketScreener,https://www.marketscreener.com/news/godrej-consumer-products-limited-competed-the-acquisition-of-fmcg-business-from-trilogy-solutions-pr-ce7d51d8db8cf22d,2025-11-10,Godrej Consumer Products,FMCG,,M&A,0,True,2,77,Tier 2,65,True,
Godrej Consumer buys Muuchstac maker Trilogy Solutions for Rs 450 crore,Business Standard,https://www.business-standard.com/companies/news/godrej-consumer-trilogy-solutions-muuchstac-deal,2025-11-11,Godrej Consumer,Muuchstac,Rs 450 crore,M&A,0,False,2,77,Tier 1,85,True,
Mars completes $36 billion acquisition of Kellanova,Reuters,https://www.reuters.com/business/mars-kellanova-acquisition-close,2025-08-15,,,$36 billion,M&A,1,True,1,74,Tier 1,70,True,
Ferrero to acquire WK Kellogg for $3.1 billion,Bloomberg,https://www.bloomberg.com/news/articles/ferrero-wk-kellogg-acquisition,2025-07-10,Ferrero,WK Kellogg,$3.1 billion,M&A,2,True,1,77,Tier 1,70,True,
Hershey to acquire premium snack brand LesserEvil,FoodBev Media,https://www.foodbev.com/news/hershey-lesserevil-acquisition,2026-02-18,,,,M&A,3,True,1,47,Tier 2,50,True,
"Nestle water business sale process underway, deconsolidation expected from 2027",FoodBev Media,https://www.foodbev.com/news/how-fmcg-giants-are-reshaping-their-portfolios,2026-03-12,,,,Divestiture,4,True,1,35,Tier 2,50,False,Relevance score 35 below threshold 45
Unilever to sell unit for $15.7 billion in cash,Consumer Goods Technology,https://consumergoods.com/mergers-and-acquisitions,2026-06-02,,,$15.7 billion,Divestiture,5,True,1,85,Tier 2,50,True,
TSG Consumer to acquire majority stake in body care brand Saltair,Business Wire,https://www.businesswire.com/news/home/20260729449825/en/TSG-Consumer-to-Acquire-Majority-Stake-in-Saltair,2026-07-29,,,,Investment,6,True,2,70,Tier 1,85,True,
Private equity firm TSG Consumer takes majority position in Saltair body care,RetailDailyWire (aggregator),https://retaildailywire.example.com/tsg-saltair-stake,2026-07-30,,,,Investment,6,False,2,70,Tier 3,40,True,
BHJ acquires majority stake in Australia's Staughton Group for about $100 million,Clarkston Consulting,https://clarkstonconsulting.com/insights/2025-ma-deal-trends-in-consumer-products/,2025-04-28,BHJ,Australia,$100 million,Investment,7,True,1,89,Tier 2,50,True,
TechNova raises $2 billion to expand cloud data centers,TechCrunch,https://techcrunch.example.com/technova-cloud-funding,2026-08-05,,,$2 billion,Investment,8,True,1,10,Tier 3,10,False,"Relevance score 10 below threshold 45; Single-source, low-credibility, uncorroborated report"
"Rumor: energy drink startup in early buyout talks, sources say",SipTeaBlog,https://siptea.example.blog/energy-drink-rumor,2026-08-10,,,,M&A,9,True,1,47,Tier 3,10,False,"Single-source, low-credibility, uncorroborated report"
Cizzle Brands in talks to acquire beverage manufacturing facility,Stockhouse,https://stockhouse.com/news/newswire/2026/01/20/consumer-packaged-goods-company-acquires-beverage-manufacturing-facility,2026-01-20,,,,M&A,10,True,1,59,Tier 2,50,True,
Local sports team announces new stadium naming rights deal,CityNews,https://citynews.example.com/stadium-naming-rights,2026-08-12,,,,,11,True,1,12,Tier 3,10,False,"Relevance score 12 below threshold 45; Single-source, low-credibility, uncorroborated report"
